"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\Utest\Desktop\nova\CRASH_RECOVERY.md", "Markdown", 0, 25, 0, 0, 12, 37
"c:\Users\Utest\Desktop\nova\INSTRUCTION.md", "Markdown", 0, 138, 0, 0, 34, 172
"c:\Users\Utest\Desktop\nova\MCP_INTEGRATION_GUIDE.md", "Markdown", 0, 96, 0, 0, 26, 122
"c:\Users\Utest\Desktop\nova\README.md", "Markdown", 0, 243, 0, 0, 87, 330
"c:\Users\Utest\Desktop\nova\conftest.py", "Python", 9, 0, 0, 9, 5, 23
"c:\Users\Utest\Desktop\nova\core\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\core\config.py", "Python", 276, 0, 0, 49, 64, 389
"c:\Users\Utest\Desktop\nova\core\prompts.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\documentation.md", "Markdown", 0, 53, 0, 0, 11, 64
"c:\Users\Utest\Desktop\nova\frontroadmap.md", "Markdown", 0, 648, 0, 0, 216, 864
"c:\Users\Utest\Desktop\nova\main.py", "Python", 1069, 0, 0, 54, 170, 1293
"c:\Users\Utest\Desktop\nova\modules\agent\background_plans.py", "Python", 324, 0, 0, 23, 66, 413
"c:\Users\Utest\Desktop\nova\modules\agent\mcp_gateway.py", "Python", 606, 0, 0, 141, 117, 864
"c:\Users\Utest\Desktop\nova\modules\agent\mcp_integration.py", "Python", 245, 0, 0, 80, 49, 374
"c:\Users\Utest\Desktop\nova\modules\agent\mcp_security.py", "Python", 196, 0, 0, 63, 60, 319
"c:\Users\Utest\Desktop\nova\modules\agent\plan_service.py", "Python", 206, 0, 0, 13, 40, 259
"c:\Users\Utest\Desktop\nova\modules\agent\planning.py", "Python", 564, 0, 0, 7, 96, 667
"c:\Users\Utest\Desktop\nova\modules\agent\reasoning.py", "Python", 343, 0, 0, 55, 85, 483
"c:\Users\Utest\Desktop\nova\modules\agent\reasoning_demo.py", "Python", 119, 0, 0, 19, 34, 172
"c:\Users\Utest\Desktop\nova\modules\agent\recovery.py", "Python", 477, 0, 0, 68, 86, 631
"c:\Users\Utest\Desktop\nova\modules\agent\workflow_recorder.py", "Python", 197, 0, 0, 53, 44, 294
"c:\Users\Utest\Desktop\nova\modules\application\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\application\agent.py", "Python", 759, 0, 0, 46, 131, 936
"c:\Users\Utest\Desktop\nova\modules\application\interaction_modes.py", "Python", 184, 0, 0, 50, 41, 275
"c:\Users\Utest\Desktop\nova\modules\application\preferences.py", "Python", 179, 0, 0, 7, 37, 223
"c:\Users\Utest\Desktop\nova\modules\application\reporting.py", "Python", 251, 0, 0, 1, 58, 310
"c:\Users\Utest\Desktop\nova\modules\application\request_dispatcher.py", "Python", 187, 0, 0, 16, 23, 226
